"Gene Symbol","Nominations","Year First Nominated","Nominating Teams","Cohort Study","Program","Input Data","Pharos Class","Small Molecule Druggability","Safety Rating","Antibody Modality"
"DNM1L","1","2023","MSSM - Zhang Lab","MSBB","AMP-AD","Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"DNM2","1","2019","Chang Lab","MSBB","Community","Genetics, Protein","Tchem","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"DNM3","1","2018","Emory","ACT, Banner, BLSA","AMP-AD","Protein","Tbio","2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"DOCK1","1","2019","Chang Lab","ROSMAP","Community","Genetics, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"DOCK3","1","2018","MSSM - Zhang Lab","MSBB","AMP-AD","Genetics, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"DOCK4","1","2018","Duke","ADNI","AMP-AD","Genetics, Metabolomics","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"DOCK7","1","2023","Duke","ADNI, AIBL","AMP-AD","Genetics, Metabolomics","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"DOCK8","1","2022","IUSM-Purdue","ABA, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","TREAT-AD","RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"DPP10","1","2018","Duke","ADNI","AMP-AD","Genetics, Metabolomics","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"DPY30","1","2018","Mayo-UFL-ISB","APP Mice","AMP-AD","Protein","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"DPYD","1","2023","MSSM - Roussos Lab","HBI_scRNAseq","AMP-AD","RNA","Tclin","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"DPYS","1","2023","MSSM - Roussos Lab","HBI_scRNAseq","AMP-AD","RNA","Tbio","4: Targetable by homologous structure: >=40% homologous to a structurally druggable protein, based on the presence of a druggable pocket in the homologous protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate. "
"DPYSL3","1","2018","Emory","ACT, Banner, BLSA","AMP-AD","Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"DTNA","1","2020","MSSM - Zhang Lab","MSBB","AMP-AD","Genetics, Protein","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"DTX3L","1","2018","MSSM - Zhang Lab","MSBB","AMP-AD","Genetics, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities."
"DYNC2LI1","1","2019","Chang Lab","Kronos, Mayo, ROSMAP, Rush","Community","Genetics, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
